id,alias1,alias2,Name,Leader,Auto,Tap,Slide,Drive,image,thumbnail,type,element,rank,notes
yan,yan zisuka,,Yan Zisuka,Critical rate +20% to all allies,Deals 113 damage,Deals 490 damage to 1 enemy with 175 additional damage if debuff type and gains Ranged Attack (Ignore enemy taunt and reflect) for 2 turns,Deals 100 damage plus Tap damage 3 times to 1 enemy with priority to debuff type (700 ignore defense damage)        ,Deals 2391 damage and Debuff Explosion (removes debuff and damage enemy according to debuff) to 4 random enemies,http://i.imgur.com/3eURsqh.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i14721179003.png,Attacker,Dark,:star::star::star::star::star:,Her kit is pvp oriented. 
khepri,,,Khepri,Critical damage +12% to dark allies,Deals 114 damage,Deals 497 damage plus 100 ignore defense damage and additional 270 damage if enemy is buffed to 1 enemy,Deals 450 damage plus Tap damage 2 times to 2 enemies with priority to support type and Bleeding (250 continuous damage) for 12s to 2 enemies with lowest HP        ,Deals 2507 damage to all enemies and 70% chance to confuse for 12s to 2 random enemies        ,http://i.imgur.com/RKhDpm0.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i15275204854.png,Attacker,Dark,:star::star::star::star::star:,Whale's toy. Soon u'll know why.
liberated maat,dark maat,d maat,Maat,Slide damage +20% to dark allies,Deals 114 damage,Deals 496 damage 3 times with 150 additional damage if enemy is buffed to 1 enemy with priority to buffed enemy and 70% chance to gain 연격* (if enemy is killed random enemy receives 2000 damage) for 15s,Deals 945 damage with 250 additional damage per buff to all enemies and Blind (-25% accuracy) for 10s to enemy with highest attack,"Deals 2326 damage to all enemies and gains Fallen Ressurection (Revive with 50% HP, full skill gauge and 5 attack stacks) for 20s",https://cdn.discordapp.com/attachments/281088480614940672/423196425900523530/PNG_180314_EAB3B5EAB2A9ED9895EBA788EC9584ED8AB8_06.png,,Attacker,Dark,:star::star::star::star::star:,No comments. Check again later.
mars,dark mars,,Mars,Skill damage +20% to all dark allies (bonus +25% on raids)	,Deals 114 damage,Deals 498 damage to 1 enemy with 300 additional damage if light type and gains weakness damage +60% for 3 turns,Deals 951 damage to 3 highest attack allies with 350 additional damage if light type,"Deals 2519 damage to 4 enemies with highest attack and gains Berserk (Increase attack by 180% and Invincibility, after the buff receive all damage ignored, minimum damage received is 50% of total HP) for 18s        ",https://i.imgur.com/633WF9H.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i16066389028.png,Attacker,Dark,:star::star::star::star::star:,"Raid child. If you're using her, remove luna from party."
lan fei,lanfei,,Lan Fei,Attack -20% to all enemies,Deals 100 damage,Deals 381 damage and attack -20% for 8s to 1 enemy,Deals 574 damage plus 600 ignore defense damage to 2 enemies with highest attack and enemy drive gauge -10%,"Deals 1993 damage to 3 random enemies, removes one buff and enemy drive gauge -25%",http://i.imgur.com/nWuikcs.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500003_i.png,Debuffer,Dark,:star::star::star::star::star:,Pretty situational. When she isn't collecting ur money she can eat the enemy's drive bar.
rita,,,Rita,Debuff evasion rate -28% to all enemies,Deals 101 damage,Deals 394 damage to 1 enemy and attack -25% for 8s to enemy with highest attack,"Deals 828 damage, removes Invincibility and Decomposition (770 continuous damage, duration can't be reduced) for 8s to 2 enemies with highest attack               ",Deals 2063 damage and Confusion for 15s to 3 random enemies,http://i.imgur.com/uShdA0y.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i15199895514.png,Debuffer,Dark,:star::star::star::star::star:,Watch your enemies hp disappear while you read the bible. Rita 1 x 0 Frey.
durandal,,,Durandal,Critical damage +15% to all allies,Deals 94 damage,Deals 330 damage to 1 enemy and critical rate +25% for 5s to all allies,Deals 634 damage to 1 enemy and attack +50% and skill gauge charge rate +40% for 18s to 3 allies with highest attack,Deals 1869 damage to 3 random enemies and skill gauge charge speed +30% and skill damage +120% for 20s to 3 allies with highest attack        ,http://i.imgur.com/HTkpjIV.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i13293323336.png,Support,Dark,:star::star::star::star::star:,I still thinking. Come back later for comments.
pantheon,,,Pantheon,Critical rate +20% to all allies,Deals 92 damage,Deals 312 damage to 1 enemy and critical rate +65% for 5s to 1 random ally,Critical rate +70% and critical damage +50% for 18s to 2 allies with highest attack,"Deals 1817 damage to 3 random enemies, critical rate +100% and critical damage +50% for 29s to 2 allies with highest attack",http://i.imgur.com/ERBcVtl.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500031_i.png,Support,Dark,:star::star::star::star::star:,Pair him with Morgan and explode childs on pvp.
semele,,,Semele,Skill gauge charge speed +25% to all allies,Deals 96 damage,Deals 349 damage and removes all debuffs to 1 debuffed ally,Deals 745 damage to 1 enemy and weakness damage +95% for 20s to 5 dark attack type allies and 52.5% chance to fully charge skill gauge to 1 dark attack type ally,Deals 1939 damage to 3 random enemies and removes all debuffs and attack +150% for 20s to 5 dark attack type allies,https://i.imgur.com/PHrx0NY.png,https://i.imgur.com/puthDNF.png,Support,Dark,:star::star::star::star::star:,I'm still thinking. Come back later for comments.
warwolf,werewolf,wolf,Warwolf,Critical rate +15% to dark allies (bonus +15% on raids),Deals 93 damage,Deals 316 damage to 1 enemy and gives Vampirism (Absorbs 50HP per hit) for 7s to dark allies,Gives 140% Double-Edge (increase attack and reduce defense) for 14s to 5 dark attack type allies,Deals 1798 damage to 3 random enemies and attack +70% for 18s to dark allies,http://i.imgur.com/s2F2guU.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i13607209778.png,Support,Dark,:star::star::star::star::star:,"High risk, high reward. Boosts dark attackers."
ai,,,A.I.,Gives Reflect 10% (+5% in raid),Deals 84 damage,242 damage to one support type prioritized enemy and 75% chance of silence for 5 sec,472 damage to one enemy and +1000 shield and +40% skill damage def for 14 sec to all allies,Deals 1532 damage to 3 random enemies and gives Reflect (returns 45% of damage received) for 20s to all allies,http://i.imgur.com/LQYY38r.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500029_i.png,Tank,Dark,:star::star::star::star::star:,Ai got a rework and now is a pretty strong tank.
redcross,red cross,,Redcross,Skill defense +20% to dark allies,Deals 84 damage,Deals 249 damage to 1 enemy and skill defense +28 for 1 turn to self,Deals 473 damage to 1 enemy and gives Reflect (returns 28% of damage received) for 12s to all allies and skill defense +50% for 16s or 2 hits to 2 allies with lowest HP        ,Deals 1548 damage to 2 enemies and gives Reflect (returns 55.2% of damage received) for 22s to ally with lowest HP and self,http://i.imgur.com/B4FmoWW.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500028_i.png,Tank,Dark,:star::star::star::star::star:,Another fodder.
medusa,,,Medusa,Skill defense +20% to dark allies,Deals 86 damage,Deals 145 (70%) damage with 100 additional damage if support type and 75% chance to Petrify for 10s or 2 hits to 1 enemy with priority to support type,Deals 530 damage to 1 enemy and gives Invincibility for 8s or 1 hit to 4 allies with priority to dark type and defense +40% for 15s to all allies,Deals 1620 damage to 3 random enemies and gives debuff immunity and a +2000HP shield for 14s to all allies,http://i.imgur.com/rDnqrA7.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i13914290282.png,Tank,Dark,:star::star::star::star::star:,Top Tier Tank. Can purify while protect 4 childs. Who'll be the outcast?
metis,,,Metis,Gives Vampirism (Absorbs 60HP per hit) to all allies,Deals 91 damage,Deals 297 damage to 1 enemy and heals 250HP to ally with lowest HP,Gives 5%HP+19HP continuous heal for 10s and Immortality (HP won't go under 1) for 14s to 2 allies with lowest HP,"Gives Berserk (Increase attack by 150% and Invincibility, after the buff receive all damage ignored, minimum damage received is 50% of total HP of the ally) for 18s to 2 allies with lowest HP",http://i.imgur.com/uVJoQe2.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500006_i.png,Healer,Dark,:star::star::star::star::star:,Top You'll not die on my turn healer.
hestia,,,Hestia,Drive skill damage +15% to fire allies,Deals 113 damage,Deals 482 damage to enemy with lowest HP with 150 additional damage if forest type,Deals 713 damage and Bleeding (160 continuous damage) for 14s to 2 enemies with lowest HP with 120 additional damage if debuff type        ,2279 damage to all enemies,http://i.imgur.com/OQGOz7S.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500012_i.png,Attacker,Fire,:star::star::star::star::star:,Asstia.
medb,,,Medb,Tap damage +8% to all allies,Deals 112 damage,Deals 480 damage to 1 enemy with 275 additional damage if enemy is buffed,Deals 550 damage plus Tap damage 2 times to 2 enemies with highest attack,Deals 2406 damage to 4 enemies with lowest HP,http://i.imgur.com/Xo3tK17.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i12505538458.png,Attacker,Fire,:star::star::star::star::star:,I like her slide voice.
saladin,,,Saladin,Attack +25% to all allies,Deals 113 damage,Deals 545 damage to 1 enemy and critical rate +50% and critical damage +100% for 12s to self,Deals 165 damage plus Tap damage 2 times to 2 enemies with priority to debuff type and debuff duration -40% for 12s to self,Deals 2399 damage to all enemies with 1000 additional damage if enemy is debuffed,http://i.imgur.com/n1xLQK5.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i13812578446.png,Attacker,Fire,:star::star::star::star::star:,Poor saladin...
morgan,,,Morgan,Slide skill damage +15% to fire allies,Deals 114 damage,Deals 492 damage 3 times to 1 enemy and gains Counterattack Pose (Ignore enemy reflect and increase skill attack +30% up to 3 times when attacking) for 2 turns,Deals 897 damage plus 850 defense ignore damage 2 times and remove 1 buff to 2 enemies with highest attack        ,Deals 2457 damage to 4 random enemies,http://i.imgur.com/vUBAb7i.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i15568148191.png,Attacker,Fire,:star::star::star::star::star:,"Tap and Slide. That's it, u won. Happy?"
tyrfing,,,Tyrfing,Attack +25% to fire allies,Deals 114 damage,"Deals 497 damage and Cut (200 damage and additional damage if enemy has bleeding, poison or decomposition) to 2 enemies with priority to debuffed enemies",Deals 989 damage 2 times and Bleeding (275 continuous damage) for 14s to 2 enemies with highest attack,"Deals 2458 damage and Cut (800 damage and additional damage if enemy has bleeding, poison or decomposition) to 4 random enemies        ",https://i.imgur.com/yXIR3h6.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i16497829493.png,Attacker,Fire,:star::star::star::star::star:,Psycho Loli. Same kit that bari but with bleed.
demeter,,,Demeter,debuff evasion -30% to all enemies,Deals 102 damage,"404 damage, 150 additional damage if Wood type, -25% defense break for 8 sec to one enemy","726 damage, strong poison(825 tic damage, prevent debuff duration reduction and -30% heal) for 10 sec to 2 lowest hp enemies","1876 damage, remove 1 buff, strong poison (1000 tic damage, prevent debuff duration reduction and -30% heal) for 10 sec to 3 random enemies",https://cdn.discordapp.com/attachments/281088480614940672/443852712178745344/9_ED948CEBA088EC9DB4EBB08D_EB939CEBAFB8ED858CEBA5B4.png,https://cdn.discordapp.com/attachments/242845451739463681/443857874704400394/tx7HZbGemCT55D4EC53H5AqnXr9S3ZmAfAjmrCJX_21xyNk_wTkZ6nxUdjShRYA9Iy4s180.png,Debuffer,Fire,:star::star::star::star::star:,For 3* demeter search `lesser demeter`
jupiter,,,Jupiter,Defense -25% to all enemies,Deals 98 damage,Deals 358 damage and defense -50% for 6s to 1 enemy,Deals 581 damage and Bleeding (200 continuous damage) for 16s to 2 enemies with lowest defense,"Deals 1773 damage, removes one buff and defense -50% for 22s to 3 random enemies",http://i.imgur.com/G6Z3Kax.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500027_i.png,Debuffer,Fire,:star::star::star::star::star:,Break defense and op bleed.
hermes,,,Hermes,Attack +20% to all allies,Deals 92 damage	,Deals 312 damage and removes all debuffs to 1 debuffed ally,Deals 472 damage to 2 random enemies and 70% chance to remove all debuffs to 2 debuffed allies and +50% attack for 20s to 3 allies with highest attack        ,Deals 1835 damage to 3 random enemies and removes all debuffs and +120% attack for 20s to 3 allies with highest attack,http://i.imgur.com/IiUsHXf.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500033_i.png,Support,Fire,:star::star::star::star::star:,"Not the best cleanser, but still a ok child."
red queen,,,Red Queen,Skill Gauge Charge +25% to All Allies,Deals 96 damage,341 damage to one enemy and remove all debuff to one allies,745 damage to one enemy and +95% elemental weakness damage to five fire attacker type allies  for 20 sec and completely filling skill gauge of one fire attacker type allies with 52.5% chance, 1939 damage to three random enemies and remove all debuff and + 150% atk boost to all allies for 20 sec,https://i.imgur.com/79u1GQq.png,https://i.imgur.com/sGgaBE8.png,Support,Fire,:star::star::star::star::star:,Must use if you're fighting a wood Raid/WB. Remove luna if you're using her.
verdel,verd,verdelet,Verdel [Verdelet],Attack +20% to all allies,Deals 96 damage,Deals 340 damage to 1 enemy and heals 179HP to 2 allies with lowest HP,Deals 628 damage to 2 random enemies and gives Debuff Immunity for 12s to 2 allies with lowest HP and Tap/Slide skill attack +40% for 20s to 2 allies with highest attack        ,Deals 1925 damage to 3 random enemies and gives Tap/Slide skill attack +120% for 20s to 3 allies with highest attack and Debuff Immunity for 12s to all allies,http://i.imgur.com/jRKAN9O.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i15971764095.png,Support,Fire,:star::star::star::star::star:,Our butler here is the best cleanser of the game. Did i told you that his slide buff is op? Don't count with the tap heal though.
hades,,,Hades,Skill defense +20% to fire allies,Deals 84 damage,Deals 262 damage to 1 enemy and gains +500HP shield for 4s and Fury (saves up to 400% damage received and returns 1 time),Deals 488 damage to 2 random enemies and gains Reflect (returns 35% of damage received) and Taunt (88% provocation) for 10s,Deals 1555 damage to 3 random enemies and gives a 20%HP shield for 4 turns to 2 allies with lowest HP and self,http://i.imgur.com/kI6URqP.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500025_i.png,Tank,Fire,:star::star::star::star::star:,A good reflect tank.
dinashi,,,Dinashi,Skill defense +20% to fire allies,Deals 88 damage,Deals 294 damage to 1 enemy and gives +400HP shield for 6s to fire allies	,Deals 526 damage to 1 enemy and gives 200% Double-Edge (increase attack and reduce defense) for 14s to 5 fire attack type allies,Deals 1688 damage to 3 random enemies and drive skill defense +40% for 15s to all allies,http://i.imgur.com/IgUosSc.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500008_i.png,Tank,Fire,:star::star::star::star::star:,Double edge to fire attackers. Like warwolf.
aurora,,,Aurora,Instant heals +110 to all allies,Deals 89 damage	,Deals 285 damage to 1 enemy and gives instant heal +30% for 2 turns to fire allies,Heals 2124HP to 2 allies with lowest HP and 75% chance to remove all debuffs to 2 debuffed allies,Gives 528HP continuous heal for 18s and removes all debuffs to 3 allies with lowest HP,http://i.imgur.com/6comSwO.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500020_i.png,Healer,Fire,:star::star::star::star::star:,Cleanse and Burst heal.
deino,,,Deino,element weakness skill damage +20% (+25% in raid),Deals 114 damage,"502 damage, 300 additional damage if Fire type to one enemy and +60% element weakness skill damage for 3 turn to itself","954 damage, 550 additional damage to three highest atk enemies and -40% debuff duration for 12 sec to itself","2528 damage to four highest atk enemies and berserk(+180 atk Invincibility, after the buff receive all damage ignored, minimum damage received is 50% of total HP of the ally) for 18 sec to itself",https://cdn.discordapp.com/attachments/281088480614940672/443855966895603713/9_ED9DACEBA79DEC9D98_EB8DB0EC9DB4EB85B8.png,,Attacker,Water,:star::star::star::star::star:,For 3* version search `lesser deino`
thanatos,,,Thanatos,Drive skill damage +15% to water allies,Deals 110 damage,Deals 120 damage plus Auto damage 4 times to 1 enemy,Deals 710 damage and Poison (440 damage when enemy attacks) for 4 turns to 2 enemies with highest attack with 175 additional damage if fire type,Deals 2073 damage to 4 enemies with lowest HP,http://i.imgur.com/oEejR0w.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500036_i.png,Attacker,Water,:star::star::star::star::star:,Meh...
eve,,,Eve,Attack +20% to attack type allies,Deals 113 damage,Deals 486 damage with 285 additional damage if fire type to enemy with lowest defense,Deals 941 damage with 1150 additional damage and Poison (505 damage when enemy attacks) for 3 turns to 3 enemies with lowest HP,Deals 2390 damage to all enemies,http://i.imgur.com/smvbYBS.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500002_i.png,Attacker,Water,:star::star::star::star::star:,Best water attacker? Or will Bari prevail
bari,,,Bari,Slide skill damage +10% to water allies,Deals 113 damage,Deals 485 damage to 1 enemy with 250 additional damage if fire type,Deals 400 damage plus Tap damage 2 times and Poison (497 damage when enemy attacks) for 4 turns to 2 random enemies,Deals 2443 damage and Debuff Explosion (removes debuff and damage enemy according to debuff) to 4 random enemies,http://i.imgur.com/QphLT9n.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i15588221194.png,Attacker,Water,:star::star::star::star::star:,Best Ass in the game. Also can do well in all game content.
